source_index,base_orbit,swap,sx,sy,x,y,c,s,weight_numerator,weight_denominator,weight
406,50,1,1,-1,-34451253/20000000,35491127/50000000,658715300000000/2543390584645409,-2456609415354591/2543390584645409,10913214205,79999999999,10913214205/79999999999
180,22,1,-1,-1,-10110331/12500000,40814773/50000000,-83418100000000/2500695857940761,-2499304142059239/2500695857940761,5593172950,79999999999,5593172950/79999999999
179,22,0,1,1,-40814773/50000000,10110331/12500000,2499304142059239/2500695857940761,83418100000000/2500695857940761,5593172950,79999999999,5593172950/79999999999
37,4,1,-1,1,-181341739/100000000,80831859/100000000,-437225800000000/10004779160004641,9995220839995359/10004779160004641,4494992171,79999999999,4494992171/79999999999
243,30,0,1,1,-9338139/10000000,1384301/100000000,2128572401183151/2871427598816849,1927245700000000/2871427598816849,4071749881,79999999999,4071749881/79999999999
242,30,0,1,-1,-9338139/10000000,-1384301/100000000,2128572401183151/2871427598816849,-1927245700000000/2871427598816849,4071749881,79999999999,4071749881/79999999999
8,1,0,-1,-1,-179378909/100000000,66967593/100000000,-9981383113656559/10018616886343441,-862945800000000/10018616886343441,3883738847,79999999999,3883738847/79999999999
495,61,1,1,1,-173835897/100000000,1002627/3125000,2197635400000000/10120740033783329,9879259966216671/10120740033783329,3361582622,79999999999,3361582622/79999999999
23,2,1,1,1,-172643279/100000000,6797743/10000000,2519801800000000/10158735027782081,9841264972217919/10158735027782081,2855953475,79999999999,2855953475/79999999999
313,39,0,-1,1,-99293807/100000000,91529141/100000000,-825788659/1127336341,767437500/1127336341,2738337848,79999999999,2738337848/79999999999
317,39,1,-1,1,-91529141/100000000,99293807/100000000,-767437500/1127336341,825788659/1127336341,2738337848,79999999999,2738337848/79999999999
608,76,0,-1,-1,-10126241/10000000,92967053/100000000,-334759276328071/465240723671929,-323086920000000/465240723671929,2528021472,79999999999,2528021472/79999999999
615,76,1,1,1,-92967053/100000000,10126241/10000000,323086920000000/465240723671929,334759276328071/465240723671929,2528021472,79999999999,2528021472/79999999999
78,9,1,1,-1,-79761423/100000000,4697007/25000000,4476953125/76359622573,-76228268052/76359622573,2466262395,79999999999,2466262395/79999999999
416,52,0,-1,-1,-40207869/50000000,8306659/50000000,-9807771119896431/10192228880103569,-2772932600000000/10192228880103569,2413574570,79999999999,2413574570/79999999999
522,65,0,1,-1,-16964103/20000000,14267401/100000000,2374794396000039/2625205603999961,-1118953100000000/2625205603999961,2247682481,79999999999,2247682481/79999999999
497,62,0,-1,1,-10128133/12500000,20205981/100000000,-9996610899415599/10003389100584401,368190200000000/10003389100584401,1939384148,79999999999,1939384148/79999999999
70,8,1,1,-1,-94311599/100000000,1612629/100000000,7421334200000000/11376905032702241,-8623094967297759/11376905032702241,1890672763,79999999999,1890672763/79999999999
71,8,1,1,1,-94311599/100000000,-1612629/100000000,7421334200000000/11376905032702241,8623094967297759/11376905032702241,1890672763,79999999999,1890672763/79999999999
603,75,0,1,1,-53043849/50000000,4555279/5000000,347731690551/433518309449,258883750000/433518309449,1747893729,79999999999,1747893729/79999999999
604,75,1,-1,-1,-4555279/5000000,53043849/50000000,-258883750000/433518309449,-347731690551/433518309449,1747893729,79999999999,1747893729/79999999999
412,51,1,-1,-1,-99852621/100000000,1144213/1250000,-289489560000000/452377628343121,-347622371656879/452377628343121,1634751596,79999999999,1634751596/79999999999
411,51,0,1,1,-1144213/1250000,99852621/100000000,347622371656879/452377628343121,289489560000000/452377628343121,1634751596,79999999999,1634751596/79999999999
280,35,0,-1,-1,-12840779/12500000,93706639/100000000,-2197144605686919/2802855394313081,-1740274100000000/2802855394313081,1125829460,79999999999,1125829460/79999999999
287,35,1,1,1,-93706639/100000000,12840779/12500000,1740274100000000/2802855394313081,2197144605686919/2802855394313081,1125829460,79999999999,1125829460/79999999999
482,60,0,1,-1,-80880379/100000000,41327651/50000000,39055660875399/39069339124601,-1033737500000/39069339124601,1078982031,79999999999,1078982031/79999999999
486,60,1,1,-1,-41327651/50000000,80880379/100000000,1033737500000/39069339124601,-39055660875399/39069339124601,1078982031,79999999999,1078982031/79999999999
325,40,1,-1,1,-75073229/100000000,531979/3125000,-2934015800000000/10215211217866241,9784788782133759/10215211217866241,1045803613,79999999999,1045803613/79999999999
513,64,0,-1,1,-3952659/4000000,92445907/100000000,-8894292591751959/11105707408248041,6650435800000000/11105707408248041,966274821,79999999999,966274821/79999999999
