467/100
77
81430527/100000000 3545791/20000000 4573613/50000000 469841190
179378909/100000000 -66967593/100000000 4314729/100000000 3883738847
6797743/10000000 -172643279/100000000 12599009/100000000 2855953475
-18794161/100000000 -77342291/100000000 5925561/100000000 383974948
80831859/100000000 181341739/100000000 2186129/100000000 4494992171
-25584553/100000000 -4512231/25000000 1769039/25000000 2731006287
19500133/100000000 -36699999/20000000 0 10429331212
1827117/3125000 -164426911/100000000 29282629/100000000 187638243
-1612629/100000000 -94311599/100000000 37106671/100000000 1890672763
-4697007/25000000 -79761423/100000000 11461/390625 2466262395
14270213/12500000 -84720921/100000000 34632893/100000000 240823122
83403179/100000000 16123529/100000000 28764861/100000000 259959738
-4645239/50000000 -12827163/100000000 207107/500000 234920595
-76244627/100000000 -16006087/20000000 2171747/25000000 469841190
-50682227/50000000 92489753/100000000 4810923/12500000 626662027
1457613/12500000 2548923/1562500 1757533/5000000 661828665
-4951187/100000000 -97615987/100000000 18409511/50000000 277853716
-95585369/100000000 -1609059/100000000 20538111/50000000 383974948
1542441/2000000 36676823/20000000 115059/100000000 5884882073
1964057/20000000 102156127/100000000 7651453/20000000 460894201
180064717/100000000 -294187/1562500 3566843/100000000 1448045331
81383463/50000000 -1247641/10000000 207107/500000 1749198498
-40814773/50000000 10110331/12500000 834181/50000000 5593172950
-2941739/50000000 -5284743/5000000 37509379/100000000 200934463
-50207/100000000 -2557527/5000000 4136387/10000000 390560926
-81737/6250000 -9916823/20000000 12279/31250 2644829385
19859297/20000000 -47445883/50000000 20077873/50000000 661828665
-81523917/100000000 45043243/25000000 1697127/50000000 1560504013
49302469/50000000 1846881/2000000 33769947/100000000 464000795
-1269183/6250000 27938247/100000000 1438243/20000000 844869150
-9338139/10000000 1384301/100000000 19272457/50000000 4071749881
-78651329/100000000 -16060973/100000000 32446763/100000000 2403881999
-92450003/100000000 19784707/20000000 34978071/100000000 944031612
-166280879/100000000 8640461/50000000 5983091/25000000 661828665
-57024029/50000000 4104673/5000000 37509379/100000000 90091209
12840779/12500000 -93706639/100000000 17402741/50000000 1125829460
-2117539/50000000 96495329/100000000 19013573/50000000 460894201
32754961/20000000 795767/4000000 15791909/50000000 330914332
-849783/5000000 -77529163/100000000 8859577/100000000 661828665
99293807/100000000 91529141/100000000 12279/31250 2738337848
531979/3125000 75073229/100000000 14670079/100000000 1045803613
92647549/100000000 -1800827/50000000 41248811/100000000 277853716
-88324123/100000000 -108419613/100000000 22609181/100000000 903024579
-4999211/10000000 7499/800000 39983157/100000000 39267341
-2705079/100000000 -12199821/12500000 33252179/100000000 53060615
32913763/20000000 2410661/25000000 28707331/100000000 236846683
-81448961/50000000 -13878923/100000000 4774967/12500000 4450816412
-11460271/12500000 -13032927/12500000 26693791/100000000 187638243
11670139/50000000 -82473939/100000000 6443329/50000000 383974948
-45452781/25000000 80662963/100000000 834181/50000000 330914332
-35491127/50000000 -34451253/20000000 6587153/50000000 10913214205
-1144213/1250000 99852621/100000000 7237239/20000000 1634751596
40207869/50000000 -8306659/50000000 13864663/100000000 2413574570
5167741/5000000 -1163859/1250000 31641347/100000000 661828665
80433217/100000000 18183299/10000000 834181/50000000 765340358
-2542679/50000000 2787327/3125000 18265687/50000000 318860750
1205661/100000000 6195269/12500000 10125231/25000000 1747893729
3231861/100000000 -98238731/100000000 39983157/100000000 330914332
51531727/100000000 437019/100000000 8077173/20000000 1366652583
-94904723/100000000 32603/10000000 39235271/100000000 370181673
-80880379/100000000 -41327651/50000000 82699/6250000 1078982031
1002627/3125000 -173835897/100000000 10988177/100000000 3361582622
10128133/12500000 20205981/100000000 1840951/100000000 1939384148
7226813/4000000 -36699999/20000000 0 39219747993
3952659/4000000 92445907/100000000 33252179/100000000 966274821
-16964103/20000000 -14267401/100000000 11189531/50000000 2247682481
-84043207/100000000 -5373727/25000000 22922/390625 661828665
-96608487/100000000 12243691/12500000 17000033/50000000 330914332
40697223/25000000 -16276899/10000000 10254673/25000000 780252006
-1599413/100000000 91655109/100000000 8586311/25000000 187638243
-16631701/100000000 -164346689/100000000 29570277/100000000 330914332
-10329881/20000000 163620649/100000000 32561823/100000000 90091209
36665537/20000000 16292143/20000000 172589/100000000 16949076720
-37930553/50000000 4370307/25000000 360999/2500000 469841190
8243853/10000000 12470403/100000000 11189531/50000000 626040708
-53043849/50000000 4555279/5000000 207107/625000 1747893729
10126241/10000000 -92967053/100000000 8077173/20000000 2528021472
